time,eeg-ch1,eeg-ch2,eeg-ch3,eeg-ch4,eeg-ch5,eeg-ch6,gyro-gyro1,gyro-gyro2,gyro-gyro3,acc-acc1,acc-acc2,acc-acc3,ppg-ambient,ppg-ir,ppg-red
0.0,0.0,0.0,1497.2739757381548,1650.0,0.0,0.0,15259.021896667959,-1693751.4305333307,-45777.06569011771,93202.10574502169,67078.66025787746,971023.1174181737,33784297581.44502,23871833936.064674,65536949.72151423
0.00390625,1650.0,1650.0,0.0,0.0,0.0,0.0,-1761.7810675944909,-1866882.272510669,-63673.015267411036,101311.79774807944,73066.39075658708,1067712.9239710285,37612541744.001205,26570758342.567482,76376428.7071497
0.0078125,985.9464408331424,941.2314030670634,128.15289539940488,521.8013275349051,0.0,0.0,-22482.300035764885,-1919690.1730716308,-76919.0299410434,102693.59117080182,74176.49277288304,1096502.381918937,38105808845.37779,26910167598.27191,79012211.62969247
0.01171875,0.0,0.0,1244.6440833142597,1580.2838178072786,0.0,0.0,-43981.74720220047,-1876762.119684457,-83231.33835183182,98974.1557927777,71543.67862132448,1071693.5601338102,36325722374.267715,25641873659.170208,74261497.67742208
0.015625,0.0,0.0,1650.0,1650.0,0.0,0.0,-63393.61181098218,-1780484.4002264414,-82045.18512558445,92696.75671129489,66995.90634267894,1017259.8764827914,33833450293.736183,23871833936.064655,65536949.72151422
0.01953125,814.3373769741359,859.0272373540855,947.2739757381551,922.7008468757153,0.0,0.0,-78485.0744102907,-1677649.7541351202,-74732.61101900467,86523.47751935793,62482.32288441796,959232.6772997468,32015877832.081566,22583228164.90677,57505577.503841385
0.0234375,0.0,35.474937056534706,1650.0,1650.0,0.0,0.0,-87962.56154445042,-1606186.2267746965,-64194.76483132527,82490.0618141571,59523.080897901156,918355.6952540838,31579425184.353924,22277549536.644405,54178501.144683614
0.02734375,1650.0,1650.0,0.0,0.0,0.0,0.0,-91482.41996720704,-1585946.8035869384,-53941.69922579058,81533.88937729354,58844.884204875314,905181.3208182872,32408403744.61461,22873290196.341263,57265189.88069882
0.03125,57.63103685053784,43.93453879606317,949.6910048065919,1498.0796520943006,0.0,0.0,-89450.56857907871,-1615945.7040441178,-46959.37551258722,83411.09966511892,60296.048965174625,918839.505962307,33800681818.87542,23871833936.06467,65536949.72151423
0.03515625,0.0,0.0,1650.0,1650.0,0.0,0.0,-82745.93979915525,-1678223.4095890461,-44750.31303686187,86984.70751047065,63039.34239535915,949444.7024437046,34921353919.4799,24678440836.262394,75494199.32402268
0.0390625,1132.227054245823,1101.6113527122911,0.0,358.2238498512245,0.0,0.0,-72486.76062167724,-1746423.205640466,-46885.15542665203,90748.39222168546,65932.73301851195,982955.3463454365,35234988047.63971,24909188947.101517,83026716.6598623
0.04296875,983.1265735866332,1101.6113527122911,977.4868390936141,770.0,0.0,0.0,-59893.76220372275,-1795844.4162474978,-51230.2687405012,93388.39040451469,67956.02103811903,1006634.4562917235,34718127403.62726,24543259791.373848,85289356.70365271
